generative_type,model,rank,parameters,vocabulary_size,context,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version
📝,"gpt-4o-2024-05-13 (few-shot, val)",1.37@@1.37,,200019.0,128000.0,✓,✗,66.66 ± 1.91 / 77.70 ± 1.29@@66.65884715864749,79.07 ± 3.01 / 64.17 ± 3.51@@79.0749940006508,81.56 ± 2.45 / 64.06 ± 4.11@@81.55539720192658,64.53 ± 6.09 / 79.17 ± 4.89@@64.52725494276652,54.70 ± 4.36 / 74.94 ± 3.26@@54.69845251324422,74.52 ± 1.79 / 43.51 ± 3.40@@74.5166114590354,63.25 ± 0.26 / 13.02 ± 0.33@@63.250405958388,79.16 ± 1.98 / 84.73 ± 1.40@@79.16455182765863,73.95 ± 5.78 / 78.28 ± 5.29@@73.95313563571901,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,"gpt-4-1106-preview (few-shot, val)",1.42@@1.42,,100256.0,128000.0,✓,✗,62.55 ± 2.82 / 72.41 ± 2.42@@62.54978546382319,77.48 ± 2.32 / 55.87 ± 2.83@@77.48333790567503,78.70 ± 2.78 / 57.58 ± 4.23@@78.69695727674406,74.45 ± 4.27 / 86.22 ± 2.49@@74.45442159680051,56.31 ± 5.81 / 74.04 ± 4.03@@56.308869546145424,73.39 ± 1.83 / 44.67 ± 3.23@@73.39006572276543,63.60 ± 0.15 / 13.15 ± 0.35@@63.599125747568905,68.70 ± 2.21 / 76.95 ± 1.58@@68.70031295231537,79.90 ± 4.86 / 83.59 ± 4.01@@79.90216744903115,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,"claude-3-5-sonnet-20241022 (zero-shot, val)",1.50@@1.50,,,200000.0,✓,✗,50.92 ± 2.29 / 63.00 ± 1.71@@50.923110962728856,74.23 ± 1.86 / 70.66 ± 2.97@@74.23458485154674,70.50 ± 2.19 / 65.71 ± 2.34@@70.50152898187869,76.10 ± 3.28 / 88.02 ± 1.64@@76.10336836974055,72.03 ± 2.05 / 85.28 ± 1.07@@72.02975225746646,67.69 ± 0.75 / 40.57 ± 1.42@@67.68992020281635,62.57 ± 0.14 / 10.84 ± 0.13@@62.56731778848916,76.25 ± 2.47 / 82.46 ± 1.80@@76.24585752599937,81.12 ± 4.01 / 84.69 ± 3.29@@81.12251326921331,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,"gpt-4o-mini-2024-07-18 (few-shot, val)",1.59@@1.59,,200019.0,8191.0,✓,✗,67.45 ± 4.03 / 77.50 ± 2.90@@67.45354338429006,72.74 ± 1.75 / 57.58 ± 4.14@@72.74053009268455,69.17 ± 2.61 / 56.34 ± 3.95@@69.172021370748,74.27 ± 2.57 / 86.86 ± 1.43@@74.26882065130759,54.83 ± 3.96 / 76.91 ± 1.98@@54.82939284320224,72.28 ± 2.04 / 40.12 ± 3.09@@72.28340958558194,63.00 ± 0.19 / 11.59 ± 0.22@@62.99913119291887,53.88 ± 2.87 / 65.82 ± 2.11@@53.875220481696395,78.92 ± 3.95 / 82.81 ± 3.32@@78.91515549273348,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.1@@140001,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,google/gemma-2-27b-it (few-shot),1.63@@1.63,27227128320.0,256000.0,8193.0,✓,✗,67.14 ± 1.22 / 78.63 ± 0.96@@67.13713960361439,67.35 ± 2.33 / 56.75 ± 3.04@@67.35290289411395,66.61 ± 1.81 / 57.24 ± 4.35@@66.61453218777315,64.66 ± 1.38 / 81.94 ± 0.79@@64.65580698673871,52.49 ± 2.01 / 75.95 ± 1.15@@52.4885760410722,73.41 ± 1.61 / 44.85 ± 2.17@@73.41348148858289,66.24 ± 0.95 / 20.99 ± 0.81@@66.24039088128484,47.15 ± 0.89 / 60.62 ± 0.66@@47.14871332346008,79.76 ± 0.90 / 83.77 ± 0.73@@79.75791661330496,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,"gpt-4o-2024-05-13 (zero-shot, val)",1.64@@1.64,,200019.0,8191.0,✓,✗,36.27 ± 1.67 / 35.73 ± 0.92@@36.27418415804607,77.72 ± 1.59 / 57.89 ± 2.50@@77.71944880756472,71.70 ± 2.52 / 50.78 ± 2.60@@71.70436585173273,71.70 ± 2.39 / 85.59 ± 1.30@@71.69890606124767,58.79 ± 1.33 / 76.83 ± 0.92@@58.78724887700185,72.82 ± 0.88 / 40.95 ± 1.31@@72.81905970663874,62.76 ± 0.16 / 10.95 ± 0.13@@62.76269456604495,77.71 ± 1.79 / 83.67 ± 1.28@@77.71211543270151,81.69 ± 3.38 / 85.31 ± 2.67@@81.69166316092745,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,"ollama_chat/gemma3:27b (few-shot, val)",1.67@@1.67,,,,✓,✗,64.84 ± 2.33 / 75.55 ± 1.61@@64.83735041612559,71.74 ± 1.20 / 68.48 ± 2.54@@71.73815739414555,67.96 ± 3.08 / 61.58 ± 3.08@@67.95751158316759,59.26 ± 1.76 / 78.87 ± 1.18@@59.26140048830021,51.70 ± 3.57 / 74.95 ± 1.83@@51.7017148807285,64.09 ± 1.51 / 33.06 ± 1.97@@64.08556929171955,63.64 ± 0.22 / 13.19 ± 0.21@@63.64099167520181,53.80 ± 2.96 / 65.12 ± 2.24@@53.79764012134062,84.12 ± 2.49 / 87.03 ± 2.14@@84.12470884531518,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
🧠,meta-llama/Meta-Llama-3-70B (few-shot),1.78@@1.78,70553706496.0,128256.0,8192.0,✓,✗,39.77 ± 0.44 / 40.05 ± 0.38@@39.773733720969325,79.76 ± 1.61 / 69.73 ± 3.22@@79.76262913022751,78.23 ± 1.12 / 69.33 ± 3.61@@78.22593363186228,54.98 ± 1.98 / 75.21 ± 1.36@@54.97700424864477,45.17 ± 1.81 / 71.03 ± 1.66@@45.16896233283162,78.09 ± 3.73 / 55.34 ± 6.10@@78.08941097723824,66.55 ± 0.68 / 21.16 ± 1.24@@66.54829888502718,56.04 ± 0.88 / 67.51 ± 0.62@@56.04058280035973,77.27 ± 0.62 / 81.76 ± 0.51@@77.27279761820202,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,meta-llama/Llama-3.3-70B-Instruct (few-shot),1.84@@1.84,70553706496.0,128256.0,131072.0,✓,✗,41.11 ± 0.41 / 40.48 ± 0.38@@41.10970924416197,79.84 ± 1.02 / 67.96 ± 2.10@@79.83736629339629,79.93 ± 0.81 / 68.93 ± 2.65@@79.92632577116983,57.84 ± 1.77 / 77.97 ± 1.19@@57.84278666902291,43.52 ± 2.51 / 69.59 ± 2.20@@43.51958684350309,69.52 ± 1.07 / 40.92 ± 1.45@@69.52442913263751,65.38 ± 0.46 / 16.49 ± 1.02@@65.38412213747506,56.95 ± 0.98 / 68.17 ± 0.70@@56.95457090456314,73.98 ± 2.03 / 78.68 ± 1.83@@73.97747043965414,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.2.0.dev0@@150200,15.2.0.dev0@@150200
📝,abhishek/autotrain-llama3-oh-sft-v0-2 (few-shot),1.85@@1.85,70553837568.0,128264.0,8192.0,✗,✗,63.91 ± 1.74 / 75.51 ± 1.63@@63.90836506831562,80.97 ± 1.73 / 74.56 ± 3.82@@80.97083246741342,79.69 ± 0.64 / 75.12 ± 2.70@@79.6945621836462,39.82 ± 3.91 / 60.91 ± 4.26@@39.82357064711949,26.86 ± 2.91 / 53.05 ± 3.88@@26.857483766439476,75.80 ± 2.01 / 47.06 ± 3.13@@75.79783039696417,65.47 ± 0.63 / 18.47 ± 1.15@@65.47012488837936,45.36 ± 1.93 / 57.05 ± 2.44@@45.359094016631154,53.87 ± 5.78 / 60.71 ± 5.70@@53.874568129004466,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,15.2.0.dev0@@150200,15.2.0.dev0@@150200
